CASEID,hunt_fish,scientists,education,ideology,urbanrural
209180,0,50,2,,suburb
209197,0,85,6,7,rural
209203,1,70,6,7,suburb
209210,0,85,2,6,city
209234,0,100,2,4,suburb
209241,0,70,3,4,city
209258,1,60,4,6,rural
209265,1,85,3,4,city
209272,0,100,7,,rural
209296,1,85,6,6,small town
209302,0,50,4,6,rural
209319,0,85,4,,suburb
209333,0,85,3,4,suburb
209340,0,85,5,6,small town
209357,0,100,2,1,city
209364,0,40,7,7,rural
209388,0,50,6,5,suburb
209395,0,100,4,,city
209425,,,2,4,
209432,1,85,6,6,small town
209449,0,75,7,6,rural
209456,0,100,7,1,city
209463,0,90,8,4,city
209470,0,85,4,6,suburb
209487,,,3,6,
209494,0,85,6,2,suburb
209500,0,95,7,3,rural
209517,0,40,3,6,rural
209524,0,100,6,3,city
209531,1,50,3,6,suburb
209555,0,85,6,3,suburb
209562,1,85,6,2,suburb
209579,1,70,6,3,suburb
209586,0,100,1,6,rural
209593,0,100,7,6,suburb
209609,0,60,3,6,suburb
209623,0,85,7,7,small town
209630,1,60,3,6,small town
209647,0,100,8,2,suburb
209654,0,100,7,1,rural
209678,0,100,3,,city
209685,1,70,7,2,suburb
209692,0,100,4,2,small town
209708,0,85,3,7,small town
209739,0,100,2,,city
209753,0,60,4,7,small town
209760,0,50,5,7,small town
209777,0,50,2,2,rural
209784,0,50,4,6,rural
209807,0,100,2,2,small town
209876,,,2,4,
209883,0,95,8,3,small town
209906,1,60,6,4,rural
209913,0,100,6,3,city
209920,0,100,7,4,suburb
209937,0,90,7,2,city
209944,0,50,6,6,small town
209951,1,100,6,6,small town
209968,1,60,6,2,small town
209975,0,70,4,,rural
209982,0,89,5,,city
210005,1,70,5,,small town
210012,0,85,3,6,city
210029,0,60,5,5,city
210036,0,65,6,3,rural
210043,0,100,7,2,city
210050,0,70,8,6,suburb
210067,0,100,4,2,city
210104,,,2,5,
210111,0,100,6,3,suburb
210128,0,85,7,5,suburb
210135,0,50,6,6,suburb
210142,0,70,3,,suburb
210159,0,85,2,2,rural
210166,0,100,2,5,small town
210173,0,85,6,4,city
210180,0,85,2,,rural
210197,1,85,6,4,small town
210203,0,50,2,4,city
210227,1,90,6,6,suburb
210234,0,100,5,4,rural
210258,0,85,7,4,city
210265,0,100,4,,rural
210272,1,85,6,6,city
210289,0,95,7,6,suburb
210296,0,40,6,6,small town
210302,0,88,3,2,suburb
210319,1,85,4,6,small town
210326,0,90,6,6,rural
210333,0,85,3,,small town
210340,0,100,3,,city
210357,0,85,2,2,suburb
210364,,,2,4,
210371,,,6,4,
210395,0,70,2,6,small town
210401,0,50,2,,rural
210418,0,100,7,2,city
210432,0,50,3,6,city
210449,1,40,3,4,rural
210456,1,85,7,4,small town
210463,0,,3,,suburb
210470,,,6,4,
210487,0,100,6,,small town
210494,0,60,6,,small town
210500,0,85,6,3,small town
210555,0,100,2,1,small town
210579,0,,2,4,city
210586,0,85,3,2,small town
210593,0,100,7,2,city
210616,0,100,2,3,city
210623,0,0,5,1,rural
210630,0,50,3,6,small town
210647,0,100,6,,suburb
210661,0,100,3,,city
210678,1,85,6,2,city
210685,0,50,7,6,suburb
210692,0,50,6,3,suburb
210708,1,85,2,5,rural
210715,0,100,4,1,suburb
210722,0,85,7,2,rural
210739,0,90,2,4,suburb
210753,0,85,3,5,suburb
210777,0,100,1,6,small town
210784,1,85,4,1,city
210791,,,1,7,
210807,,,,3,
210814,0,50,2,7,suburb
210821,1,50,2,6,small town
210838,0,100,5,2,city
210845,0,60,1,5,rural
210852,0,85,7,6,suburb
210869,1,80,6,4,rural
210876,0,70,3,7,small town
210890,1,85,1,6,small town
210906,1,85,8,5,suburb
210913,0,95,6,2,suburb
210937,,,5,5,
210944,0,30,6,,city
210951,0,45,2,4,small town
210968,,30,4,4,
